"","variable","Estimate","Std..Error","z.value","Pr...z.."
"1","(Intercept)",28.8310682172095,0.989806519609241,29.1279837483708,1.58794827051064e-186
"2","max_typeCommitteeConsideration",-0.0611812622586102,0.0375168520659505,-1.63076747886684,0.102939392014263
"3","max_typeCalendarEntry",0.521030261489077,0.0682436023852694,7.63485870144427,2.26068224960942e-14
"4","max_typeResolvingDifferences",1.38428312387843,0.37198529196495,3.72133832648647,0.000198169723106702
"5","actions.count",0.324948443277698,0.0289200595899538,11.2360917607022,2.71121392268953e-29
"6","policyAreaAnimals",-0.786641176983299,0.170331764959267,-4.61828818113531,3.86918663546244e-06
"7","policyAreaArmed Forces and National Security",-0.521871201320897,0.0680529158583619,-7.66860897491982,1.73871605089449e-14
"8","policyAreaArts, Culture, Religion",-2.12762517814877,0.875896205595005,-2.42908367973059,0.0151370382100704
"9","policyAreaCivil Rights and Liberties, Minority Issues",-0.988241888719992,0.219218005169729,-4.50803248553808,6.54315596316162e-06
"10","policyAreaCommerce",0.816894325816947,0.0991395846990228,8.2398401031934,1.72440953257338e-16
"11","policyAreaCongress",-0.976534028033364,0.148734146977716,-6.56563437432882,5.18118055447005e-11
"12","policyAreaCrime and Law Enforcement",-0.513578295752513,0.0940839322142323,-5.45872481799632,4.79566353414904e-08
"13","policyAreaEducation",-0.785460235079985,0.0812835861368528,-9.66320843371191,4.32114221320858e-22
"14","policyAreaEmergency Management",0.0872890995767856,0.111881701599776,0.780191026134342,0.435278443644213
"15","policyAreaEnergy",0.650662760024932,0.0782451617381878,8.31569320799772,9.12175077026566e-17
"16","policyAreaEnvironmental Protection",0.73662992830312,0.0982855069968593,7.49479705412375,6.64010224535111e-14
"17","policyAreaFamilies",-0.95907925571752,0.220397391954549,-4.35159076617071,1.35153349115407e-05
"18","policyAreaFinance and Financial Sector",0.794637653263059,0.0966087916848199,8.22531406722811,1.94680051914776e-16
"19","policyAreaForeign Trade and International Finance",0.158063448608691,0.0721082947442916,2.19202865868914,0.0283774373503205
"20","policyAreaGovernment Operations and Politics",-0.171379603602133,0.0780040112362354,-2.19706141884305,0.0280160600513698
"21","policyAreaHousing and Community Development",-0.0637569270111951,0.121711910864571,-0.523834738591342,0.600393489312098
"22","policyAreaImmigration",-0.473640814632173,0.111202802056531,-4.25925251767839,2.05111652538059e-05
"23","policyAreaInternational Affairs",-0.579387309602546,0.110192397810822,-5.25796081320632,1.45661547527389e-07
"24","policyAreaLabor and Employment",0.43874970364682,0.0943779799434181,4.6488566920998,3.3378000989442e-06
"25","policyAreaLaw",0.230995795766325,0.128820715730779,1.79315721431854,0.0729477892767907
"26","policyAreaNative Americans",-0.73472909336157,0.161615441725592,-4.54615651522379,5.46344149030994e-06
"27","policyAreaNone",-0.693262139528513,0.607478429166412,-1.14121276780118,0.253781392400943
"28","policyAreaPrivate Legislation",-0.437133985543592,0.18292074721379,-2.38974524323743,0.0168600632490979
"29","policyAreaPublic Lands and Natural Resources",-0.655995712792901,0.0751402578478358,-8.73028296125011,2.54036252490509e-18
"30","policyAreaScience, Technology, Communications",0.678253704674672,0.100050924224968,6.7790848503268,1.20939487972284e-11
"31","policyAreaSocial Sciences and History",-1.0827781736628,0.512346051074645,-2.11337273194879,0.0345688779638939
"32","policyAreaSocial Welfare",-0.424855620913767,0.108508606327709,-3.91540943425863,9.02509186561766e-05
"33","policyAreaSports and Recreation",-0.952453994223597,0.408560918658891,-2.3312410725677,0.0197406515109517
"34","policyAreaTaxation",0.210402186566975,0.0543572328498481,3.87073026966205,0.000108509803623929
"35","policyAreaTransportation and Public Works",0.348901230176239,0.0916550553237324,3.80667742705401,0.000140846257819354
"36","policyAreaWater Resources Development",-0.660787123780645,0.136274825781869,-4.848930240706,1.24129060356175e-06
"37","subjects.count",0.703715094355132,0.0274089882623031,25.6746103730865,2.24616503615222e-145
"38","cosponsors.count",0.220563117147593,0.0102266375770633,21.5675108739827,3.62692123605499e-103
"39","introducedDate",-0.00192698905836445,6.7720762551223e-05,-28.454922622983,4.23546036091296e-178
"40","relatedBills.count",0.27676199810344,0.0264181829565291,10.476193558007,1.11126838909029e-25
"41","sponsors.partyR",-0.242712209545663,0.0293640817246468,-8.26561551699884,1.38975793101225e-16
"42","first_committeeAgriculture, Nutrition, and Forestry Committee",0.526189016601916,0.128616053803203,4.09116125897507,4.29218535941263e-05
"43","first_committeeAppropriations Committee",1.40754065171232,0.154121914012708,9.13264450891952,6.68460718542577e-20
"44","first_committeeArmed Services Committee",-0.109592734505467,0.0872901345207454,-1.25549966336026,0.209297430219725
"45","first_committeeBanking, Housing, and Urban Affairs Committee",0.216179138690981,0.107418559577981,2.01249336744312,0.0441679551439649
"46","first_committeeBudget Committee",0.634292884085167,0.16268656341659,3.8988646066666,9.66447923618468e-05
"47","first_committeeCommerce, Science, and Transportation Committee",0.0903337577521751,0.0920387352072001,0.981475435845715,0.326358342063396
"48","first_committeeCommittee on House Administration",-0.542458012939704,0.19887721008216,-2.72760268869221,0.00637963972109463
"49","first_committeeEducation and the Workforce Committee",-0.0793622941745859,0.0765678195892751,-1.03649672408462,0.299970466938077
"50","first_committeeEnergy and Natural Resources Committee",0.207348612108069,0.0816032263339996,2.54093644850998,0.0110556012781611
"51","first_committeeEnvironment and Public Works Committee",0.166012848345258,0.10606481973955,1.56520181482337,0.11753559613575
"52","first_committeeFinance Committee",0.462246432465229,0.0536628497291377,8.61390020840134,7.06161650458896e-18
"53","first_committeeFinancial Services Committee",-0.473792197647353,0.099214128060581,-4.77545090511758,1.79305033096024e-06
"54","first_committeeForeign Affairs Committee",-0.422911699426832,0.155460045781774,-2.72038836281119,0.00652052850207452
"55","first_committeeHealth, Education, Labor, and Pensions Committee",0.342047406775189,0.0713913670853701,4.79115922190098,1.65820468169917e-06
"56","first_committeeHomeland Security Committee",0.123102697585018,0.111590454238972,1.1031651266639,0.269955462630852
"57","first_committeeIndian Affairs Committee",-0.343912561229318,0.245147775003999,-1.40287857486656,0.16065305082364
"58","first_committeeJudiciary Committee",0.287849172830675,0.0718202299863668,4.00791215630074,6.12578954323075e-05
"59","first_committeeNone",0.373132480460778,0.141122512837594,2.64403228767747,0.00819248409740597
"60","first_committeeOversight and Accountability Committee",-0.352445618590072,0.100540169029568,-3.5055204501041,0.000455715490780315
"61","first_committeeRules Committee",-0.609055628452717,0.214311889503082,-2.84191245695661,0.00448438034876652
"62","first_committeeScience, Space, and Technology Committee",-0.816359274508004,0.149193317800504,-5.47182197261414,4.45432181741114e-08
"63","first_committeeSmall Business and Entrepreneurship Committee",-1.24041468346418,0.187285663878816,-6.62311603448086,3.51704718198868e-11
"64","first_committeeSmall Business Committee",-1.69507391053011,0.191620242514543,-8.84600649851208,9.07069787538479e-19
"65","first_committeeTransportation and Infrastructure Committee",-0.185473745304621,0.0949860716718388,-1.95264149827568,0.0508620902454777
"66","committees.count",-0.0671676747345829,0.0203611534192212,-3.29881482407453,0.000970939373357334
